TIMESTAMP,POWER,U10,V10,WS10,U100,V100,WS100,TEMP2,PRESS
20120101 1:00,0.273678157,0.534894004,-3.66024328,3.699120499,0.765354708,-4.486657499,4.551468262,30.9,97.4
20120101 2:00,0.086795946,0.330813099,-2.676429756,2.696796905,0.469874991,-3.213752456,3.247920466,32.4,97.3
20120101 3:00,0.006811402,-0.065838724,-2.02907194,2.030139816,-0.020893045,-2.418119009,2.418209268,32.4,97.3
20120101 4:00,0.018645987,-0.419549446,-1.799089557,1.847361625,-0.444866814,-2.149653736,2.195203332,34.3,97.2
20120101 5:00,0.034811833,-0.754224422,-1.661526021,1.824698112,-0.838273717,-1.991828697,2.161037802,34.5,97.1
20120101 6:00,0.021916897,-1.256679578,-1.607863466,2.040702939,-1.438856053,-1.944643891,2.419079702,34.7,97.1
20120101 7:00,0.01823263,-1.811815054,-1.707522498,2.489639908,-2.133403204,-2.091079495,2.987310275,34.3,97
20120101 8:00,0.009641997,-2.404136638,-2.236056084,3.283263587,-2.990407593,-2.852002279,4.132366704,34.6,97
20120101 9:00,0.005535387,-2.722432019,-2.574641257,3.747054003,-4.308745256,-4.265919386,6.063279137,34.8,97
20120101 10:00,0.01721721,-2.547126079,-2.653431518,3.678117736,-4.818193044,-5.626143437,7.407325711,34.4,97.1
20120101 11:00,0.309963697,-2.251407978,-2.900449632,3.67170886,-4.253272053,-6.409845093,7.692622263,25.5,97.1
20120101 12:00,0.725953417,-2.017224034,-3.332305439,3.895311584,-3.602877044,-7.274899863,8.118182741,24.8,97.2
20120101 13:00,0.749595629,-1.894155722,-4.109134818,4.524689476,-3.218526991,-8.317846773,8.91882789,20.9,97.2
20120101 14:00,0.705537184,-1.818012738,-4.619354992,4.96423316,-3.041918425,-8.935588079,9.4391738,20.8,97.2
20120101 15:00,0.832060314,-1.62809797,-4.733068503,5.005261278,-2.715305788,-9.124869655,9.520301032,20.7,97.2
20120101 16:00,0.869172568,-1.619244135,-4.549508491,4.829076421,-2.712475522,-8.963248137,9.364685827,19.5,97.2
20120101 17:00,0.840713849,-1.674580606,-4.284602858,4.600221936,-2.801345858,-8.696409926,9.136470009,20.9,97.1
20120101 18:00,0.883595126,-1.807388136,-3.970293603,4.362325431,-2.908895947,-8.283678466,8.779578837,21.6,97.1
20120101 19:00,0.962321628,-1.953919111,-3.773530898,4.249392348,-3.163053788,-7.937656558,8.544665055,21.8,97.1
20120101 20:00,0.956840157,-1.667054846,-4.025233838,4.356785433,-2.587943841,-8.301576151,8.695609232,21.6,97.2
20120101 21:00,0.92111175,-1.171240067,-4.628298752,4.774196543,-1.442818425,-8.252764283,8.377937892,21.6,97.2
20120101 22:00,0.907354157,-0.502775499,-5.161943057,5.186370535,-0.422224691,-7.805322161,7.816733827,21.5,97.3
20120101 23:00,0.918757414,0.366671132,-5.891072387,5.902472498,0.650445929,-7.934944787,7.961559438,28.8,97.2
20120102 0:00,0.835232378,1.580089266,-6.145756581,6.345628892,2.225771699,-8.027687336,8.330535615,28.8,97.2
20120102 1:00,0.582626433,1.268350492,-6.079385756,6.210285351,1.760671572,-7.851117568,8.046117787,34,97.2
20120102 2:00,0.333596923,1.41752618,-5.135039085,5.32710117,1.897952561,-6.509527689,6.780573328,35.8,97.2
20120102 3:00,0.148520902,1.181196217,-4.463043178,4.616706501,1.576766851,-5.570521844,5.789378837,35.8,97.1
20120102 4:00,0.125103339,1.055531915,-3.942024325,4.080894927,1.408403374,-4.891696638,5.09041217,37.8,97.1
20120102 5:00,0.062021495,1.187276748,-3.508969694,3.704388531,1.559671483,-4.372941414,4.642756912,37.7,97
20120102 6:00,0.02825204,1.237542469,-2.609873849,2.888417018,1.621836459,-3.263158565,3.643975483,37.8,97
20120102 7:00,0.115991517,2.941307191,-0.106276762,2.943226586,3.645306433,-0.158657485,3.648757486,37.5,96.9
20120102 8:00,0.224758276,4.104310042,6.748588976,7.898659005,5.504557262,9.74105522,11.18875808,37.5,96.9
20120102 9:00,0.659861256,3.228713612,6.667814137,7.408396382,4.537891883,9.897913095,10.88857871,37.2,96.9
20120102 10:00,0.783176378,3.183717684,6.139605901,6.915982859,4.652897089,9.599722527,10.66790157,36.9,97
20120102 11:00,0.720957191,2.427299656,5.723467466,6.216901435,3.549986803,9.131825658,9.797583689,32.9,97
20120102 12:00,0.67715934,1.835055959,5.153814548,5.470761809,2.639787944,8.376980595,8.783068044,31.1,97.1
20120102 13:00,0.725522088,1.04134401,4.615456594,4.731473017,1.381465218,7.891417139,8.011423756,25.6,97.2
20120102 14:00,0.704054491,-0.708632746,3.640237864,3.708570085,-1.378141683,6.635483437,6.777087497,25.1,97.2
20120102 15:00,0.536213652,-2.135936001,3.04859389,3.722384627,-3.63524836,5.551397442,6.635739913,23.9,97.2
20120102 16:00,0.375031451,-2.761014564,2.582552676,3.780579287,-4.675993669,4.763895961,6.675299358,19.1,97.2
20120102 17:00,0.386749218,-2.444421596,1.985410938,3.149135363,-4.631442103,4.169120879,6.231518664,20.2,97.1
20120102 18:00,0.573883038,-2.1489078,1.943543352,2.897441198,-4.403503857,4.239251874,6.112454718,19.5,97.1
20120102 19:00,0.351155602,-2.035404559,1.65850544,2.62554985,-4.133604252,3.881637334,5.670431421,17.3,97.1
20120102 20:00,0.808741598,-2.2279547,2.054767344,3.030816884,-3.848163403,3.938384551,5.506290444,17.3,97.2
20120102 21:00,0.549486,-2.658861647,2.471751589,3.63030318,-4.110292386,4.259059865,5.918960588,18.1,97.2
20120102 22:00,0.670258078,-2.898029191,1.403916683,3.220179381,-4.286426485,2.670137774,5.050058193,18.5,97.3
20120102 23:00,0.620107113,-3.966175763,-0.16802088,3.969733139,-5.132906244,-0.172576614,5.135806577,23,97.3
20120103 0:00,0.416996154,-3.813351756,-1.289141805,4.025361873,-4.716400904,-1.741155363,5.027530157,22.4,97.4
20120103 1:00,0.446012005,-2.165452539,-3.006075476,3.704817737,-2.52475061,-3.913238836,4.657016623,25.2,97.3
20120103 2:00,0.560332123,0.022400368,-3.645975971,3.646044783,0.161065831,-4.597602013,4.600422424,25.6,97.3
20120103 3:00,0.409510801,2.087780022,-3.537718833,4.10783154,2.616911296,-4.499757757,5.205386115,27.1,97.3
20120103 4:00,0.225773696,1.766481517,-2.435862775,3.008967332,2.184716355,-3.142510337,3.827317177,28.4,97.3
20120103 5:00,0.04564897,1.576182885,-2.66377254,3.095163426,1.991427866,-3.35569056,3.902107646,29,97.2
20120103 6:00,0.001914022,0.806849311,-2.99643314,3.103162479,1.116691642,-3.71809694,3.88217015,29.1,97.1
20120103 7:00,0.076255347,0.465009406,-2.33549482,2.381337818,0.71506544,-2.889427149,2.976593327,29.1,97.1
